worker_id,full_name,department,job_role,salary,tenure,employment_status,account_number,attendance_score,last_verification
HRA-1,Staff 1,Sales,Sales Executive,71916,6,Terminated,0122000000,80,2026-04-15
HRA-2,Staff 2,Research & Development,Research Scientist,61560,10,Active,0122000001,81,2026-04-15
HRA-4,Staff 4,Research & Development,Laboratory Technician,25080,0,Terminated,0122000002,82,2026-04-15
HRA-5,Staff 5,Research & Development,Research Scientist,34908,8,Active,0122000003,89,2026-04-15
HRA-7,Staff 7,Research & Development,Laboratory Technician,41616,2,Active,0122000004,96,2026-04-15
HRA-8,Staff 8,Research & Development,Laboratory Technician,36816,7,Active,0122000005,96,2026-04-15
HRA-10,Staff 10,Research & Development,Laboratory Technician,32040,1,Active,0122000006,95,2026-04-15
HRA-11,Staff 11,Research & Development,Laboratory Technician,32316,1,Active,0122000007,93,2026-04-15
HRA-12,Staff 12,Research & Development,Manufacturing Director,114312,9,Active,0122000008,85,2026-04-15
HRA-13,Staff 13,Research & Development,Healthcare Representative,62844,7,Active,0122000009,85,2026-04-15
HRA-14,Staff 14,Research & Development,Laboratory Technician,29112,5,Active,0122000010,82,2026-04-15
HRA-15,Staff 15,Research & Development,Laboratory Technician,50316,9,Active,0122000011,82,2026-04-15
HRA-16,Staff 16,Research & Development,Research Scientist,34932,5,Active,0122000012,92,2026-04-15
HRA-18,Staff 18,Research & Development,Laboratory Technician,31932,2,Active,0122000013,84,2026-04-15
HRA-19,Staff 19,Research & Development,Laboratory Technician,24336,4,Terminated,0122000014,86,2026-04-15
HRA-20,Staff 20,Research & Development,Manufacturing Director,119760,10,Active,0122000015,89,2026-04-15
HRA-21,Staff 21,Research & Development,Research Scientist,39576,6,Active,0122000016,87,2026-04-15
HRA-22,Staff 22,Research & Development,Laboratory Technician,35220,1,Active,0122000017,87,2026-04-15
HRA-23,Staff 23,Sales,Manager,185124,25,Active,0122000018,97,2026-04-15
HRA-24,Staff 24,Research & Development,Research Scientist,47328,3,Active,0122000019,87,2026-04-15
HRA-26,Staff 26,Research & Development,Manufacturing Director,48132,4,Active,0122000020,87,2026-04-15
HRA-27,Staff 27,Sales,Sales Representative,40884,5,Terminated,0122000021,85,2026-04-15
HRA-28,Staff 28,Research & Development,Research Director,143928,12,Active,0122000022,96,2026-04-15
HRA-30,Staff 30,Research & Development,Research Scientist,14784,0,Active,0122000023,90,2026-04-15
HRA-31,Staff 31,Research & Development,Research Scientist,35520,4,Terminated,0122000024,97,2026-04-15
HRA-32,Staff 32,Research & Development,Manager,229128,14,Active,0122000025,92,2026-04-15
HRA-33,Staff 33,Research & Development,Research Scientist,47028,10,Terminated,0122000026,83,2026-04-15
HRA-35,Staff 35,Sales,Sales Executive,81900,9,Active,0122000027,98,2026-04-15
HRA-36,Staff 36,Research & Development,Healthcare Representative,122976,22,Active,0122000028,99,2026-04-15
HRA-38,Staff 38,Sales,Manager,227364,2,Active,0122000029,93,2026-04-15
HRA-39,Staff 39,Research & Development,Laboratory Technician,29952,1,Active,0122000030,93,2026-04-15
HRA-40,Staff 40,Research & Development,Healthcare Representative,77580,4,Active,0122000031,80,2026-04-15
HRA-41,Staff 41,Research & Development,Laboratory Technician,26472,10,Active,0122000032,97,2026-04-15
HRA-42,Staff 42,Sales,Sales Representative,25032,1,Terminated,0122000033,90,2026-04-15
HRA-45,Staff 45,Research & Development,Research Scientist,27516,2,Terminated,0122000034,99,2026-04-15
HRA-46,Staff 46,Research & Development,Research Scientist,31740,5,Active,0122000035,99,2026-04-15
HRA-47,Staff 47,Sales,Sales Representative,32196,3,Terminated,0122000036,85,2026-04-15
HRA-49,Staff 49,Sales,Sales Representative,24168,2,Active,0122000037,80,2026-04-15
HRA-51,Staff 51,Research & Development,Research Scientist,41028,1,Active,0122000038,98,2026-04-15
HRA-52,Staff 52,Sales,Sales Executive,64512,5,Active,0122000039,85,2026-04-15
HRA-53,Staff 53,Research & Development,Laboratory Technician,23412,1,Active,0122000040,83,2026-04-15
HRA-54,Staff 54,Research & Development,Laboratory Technician,28092,1,Active,0122000041,95,2026-04-15
HRA-55,Staff 55,Research & Development,Laboratory Technician,27516,1,Terminated,0122000042,83,2026-04-15
HRA-56,Staff 56,Sales,Sales Executive,104712,9,Active,0122000043,93,2026-04-15
HRA-57,Staff 57,Research & Development,Laboratory Technician,48132,12,Active,0122000044,81,2026-04-15
HRA-58,Staff 58,Research & Development,Research Director,234540,22,Terminated,0122000045,95,2026-04-15
