worker_id,full_name,department,job_role,salary,account_number,attendance_score,last_verification,EMPLOYMENT_TYPE
LA-3438363036,Employee 3438363036,POLICE,POLICE OFFICER II,62813.2,0091000000,86,2026-05-01,FULL_TIME
LA-393438353933,Employee 393438353933,POLICE,CRIME AND INTELLIGENCE ANALYST I,71341.04,0091000001,86,2026-05-01,FULL_TIME
LA-393238333031,Employee 393238333031,PUBLIC WORKS - SANITATION,CHEMIST II,24935.36,0091000002,90,2026-05-01,FULL_TIME
LA-3537383837,Employee 3537383837,POLICE,POLICE OFFICER II,122038.88,0091000003,95,2026-05-01,FULL_TIME
LA-353634363633,Employee 353634363633,POLICE,POLICE OFFICER III,54182.4,0091000004,97,2026-05-01,FULL_TIME
LA-333436303733,Employee 333436303733,POLICE,POLICE OFFICER II,95218.56,0091000005,97,2026-05-01,FULL_TIME
LA-3533313633,Employee 3533313633,CITY PLANNING,DEPUTY DIRECTOR OF PLANNING,0.0,0091000006,96,2026-05-01,FULL_TIME
LA-383432333933,Employee 383432333933,POLICE,POLICE OFFICER I,62419.39,0091000007,85,2026-05-01,FULL_TIME
LA-313735323233,Employee 313735323233,FIRE,FIREFIGHTER III,91045.48,0091000008,90,2026-05-01,FULL_TIME
LA-313139363733,Employee 313139363733,PERSONNEL,SENIOR ACCOUNTANT II,10533.41,0091000009,99,2026-05-01,FULL_TIME
LA-383531323134,Employee 383531323134,PUBLIC WORKS - SANITATION,MANAGEMENT ASSISTANT,53833.04,0091000000,93,2026-05-01,FULL_TIME
LA-373637343933,Employee 373637343933,POLICE,POLICE SERVICE REPRESENTATIVE II,49742.48,0091000001,98,2026-05-01,FULL_TIME
LA-3330343237,Employee 3330343237,POLICE,POLICE OFFICER III,97687.5,0091000002,92,2026-05-01,FULL_TIME
LA-3731303236,Employee 3731303236,FIRE,FIREFIGHTER III,111877.6,0091000003,93,2026-05-01,FULL_TIME
LA-3035383533,Employee 3035383533,CITY CLERK,ELECTION ASSISTANT I,260.82,0091000004,98,2026-05-01,PART_TIME
LA-383735343633,Employee 383735343633,RECREATION AND PARKS,ASSISTANT PARK SERVICES ATTENDANT I,9851.26,0091000005,93,2026-05-01,PART_TIME
LA-3831373933,Employee 3831373933,POLICE,SECURITY OFFICER,60587.28,0091000006,99,2026-05-01,FULL_TIME
LA-323130343633,Employee 323130343633,WATER AND POWER,CIVIL ENGINEERING DRAFTING TECHNICIAN,43097.6,0091000007,91,2026-05-01,FULL_TIME
LA-3335393936,Employee 3335393936,WATER AND POWER,ELTL ENGR,141366.16,0091000008,92,2026-05-01,FULL_TIME
LA-3238323433,Employee 3238323433,PUBLIC WORKS - CONTRACT ADMINISTRATION,SENIOR CONSTRUCTION INSPECTOR,65551.2,0091000009,88,2026-05-01,FULL_TIME
LA-3839303437,Employee 3839303437,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,MANAGEMENT ASSISTANT,21382.4,0091000020,95,2026-05-01,FULL_TIME
LA-363135323733,Employee 363135323733,RECREATION AND PARKS,GANG REDUCTION YOUTH DEVELOPMENT WORKER I,3579.62,0091000021,93,2026-05-01,PART_TIME
LA-3337373338,Employee 3337373338,BUILDING AND SAFETY,SENIOR ADMINISTRATIVE CLERK,66884.16,0091000022,85,2026-05-01,FULL_TIME
LA-383138373733,Employee 383138373733,POLICE,POLICE OFFICER II,82855.68,0091000023,85,2026-05-01,FULL_TIME
